Nome,Média de ccu
Counter-Strike: Global Offensive,459270
Dota 2,296529
Source SDK Base 2013 Multiplayer,104535
Team Fortress 2,97120
Path of Exile,89126
Apex Legends,87888
PLAYERUNKNOWN'S BATTLEGROUNDS,83352
Rust,73724
Valheim,68954
