Hora,Nome,ccu
19/04/2021 12:11,Dota 2,589099
19/04/2021 12:11,PLAYERUNKNOWN'S BATTLEGROUNDS,329873
19/04/2021 12:11,Apex Legends,177612
19/04/2021 12:11,Source SDK Base 2013 Multiplayer,133236
19/04/2021 12:11,Grand Theft Auto V,122290
19/04/2021 12:11,Path of Exile,108175
19/04/2021 12:11,Team Fortress 2,93891
19/04/2021 12:41,Counter-Strike: Global Offensive,928014
19/04/2021 12:41,Dota 2,580580
19/04/2021 12:41,PLAYERUNKNOWN'S BATTLEGROUNDS,284247
19/04/2021 12:41,Apex Legends,161304
19/04/2021 12:41,Source SDK Base 2013 Multiplayer,138780
19/04/2021 12:41,Path of Exile,113317
19/04/2021 12:41,Grand Theft Auto V,113230
19/04/2021 12:41,Team Fortress 2,90767
19/04/2021 13:11,Counter-Strike: Global Offensive,905850
19/04/2021 13:11,Dota 2,561881
19/04/2021 13:11,PLAYERUNKNOWN'S BATTLEGROUNDS,238533
19/04/2021 13:11,Apex Legends,149592
19/04/2021 13:11,Source SDK Base 2013 Multiplayer,141034
19/04/2021 13:11,Path of Exile,117676
19/04/2021 13:11,Grand Theft Auto V,106477
19/04/2021 13:11,Team Fortress 2,91254
19/04/2021 13:41,Counter-Strike: Global Offensive,889408
19/04/2021 13:41,Dota 2,545706
19/04/2021 13:41,PLAYERUNKNOWN'S BATTLEGROUNDS,198331
19/04/2021 13:41,Source SDK Base 2013 Multiplayer,149360
19/04/2021 13:41,Apex Legends,138562
19/04/2021 13:41,Path of Exile,121960
19/04/2021 13:41,Grand Theft Auto V,100348
19/04/2021 13:41,Team Fortress 2,93072
19/04/2021 14:11,Counter-Strike: Global Offensive,893230
19/04/2021 14:11,Dota 2,530403
19/04/2021 14:11,PLAYERUNKNOWN'S BATTLEGROUNDS,168960
19/04/2021 14:11,Source SDK Base 2013 Multiplayer,154915
19/04/2021 14:11,Apex Legends,131833
19/04/2021 14:11,Path of Exile,125677
19/04/2021 14:11,Grand Theft Auto V,96213
19/04/2021 14:11,Team Fortress 2,94172
