,Melhores Jogadores
0,zombs
1,ShahZaM
2,dapr
3,SicK
4,ardiis
5,mixwell
6,Rb
7,stax
8,k1Ng
9,Zest
10,glow
11,pyth
12,paTiTek
13,Davidp
14,sinatraa
