,Melhores Jogadores
0,Loki
1,Suk
2,Pio
3,Esther
4,Taemin
5,paraboy
6,Jimmy
7,Coolboy
8,Order
9,King
10,33Svan
11,mxey
12,Fuzzface
13,ubah
14,Aitzy
