,Melhores Jogadores
0,ZywO
1,s1mpl
2,dev1c
3,NiK
4,electroni
5,blame
6,rop
7,EliG
8,dupree
9,syrso
10,Magis
11,stav
12,huNter
13,yuuri
14,Brolla
15,HEN
16,KRIM
17,KSCERAT
18,jk
19,Brehz
