,Melhores Jogadores
0,Faker
1,Duke
2,Bang
3,Wolf
4,Bengi
5,JackeyLove
6,Blank
7,Rookie
8,Ning
9,CoreJJ
10,Baolan
11,TheShy
12,Karsa
13,Ruler
14,Ambition
