,Melhores Jogadores
0,ImperialHal
1,Albralelie
2,Reps
3,dizzy
4,sweetdreams
5,retzi
6,HusKers
7,senoxe
8,Dropped
9,Ace
10,zombs
11,Snip3down
12,Reptar
13,iShiny
14,clawz
15,ImMadness
16,9impulse
17,Monsoon
18,KaronPe
19,KingRichard
